,Relative Rice index by age (range 2),Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,VoteDate,Conseil,Commission,Dept.,AffairId,AffairTitle,VoteRegistrationNumber,VoteMeaningYes,VoteMeaningNo,DivisionText,VoteSubmissionText,4098,514,4100,4102,4103,4106,4107,4108,4109,4115,4116,4118,4120,4121,4125,4179,4135,4138,4140,4141,4142,4144,4143,4149,4154,4155,4156,4157,4158,4159,4160,4161,4162,4163,4164,4165,4166,4167,4168,4170,4172,4173,4174,4175,1104,4176,4177,4178,4180,4181,4183,4184,4185,4187,4188,4189,4190,4191,1125,4197,4200,1131,4202,4208,1138,1139,4194,4213,4212,4215,4214,4220,4222,4221,4224,4199,4226,4225,4227,4230,4232,4236,4245,4246,4247,4248,4203,4252,4253,4254,4255,4256,4259,4260,4261,4263,4264,4266,4271,4272,4273,4274,4275,4276,4277,4278,4279,4282,4283,4284,4285,4287,4288,4293,4294,4295,4296,4297,4298,4300,4301,4304,4305,4307,4308,214,4310,4311,4313,4315,4317,4319,224,4320,4323,3830,1279,1288,1295,3876,3878,806,3880,1318,3882,3888,3890,307,3891,3895,3897,3901,3902,3904,1345,1346,3905,3907,3912,3923,354,4008,4025,4032,4040,4042,1109,4045,4046,4049,4051,4052,4053,4059,4060,4063,4065,4069,4070,4072,4073,4076,4077,491,4079,4082,4083,4086,4087,502,4089,4090,4093,4095
0,1.0772631174322504,0,155,155,2015-12-18 08:14:28,CN,"WAK-NR, WAK-SR",DFF,10.426,Importations de viande assaisonnée. Abolition du traitement préférentiel prévu dans le tarif douanier,12843,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Loi sur le tarif des douanes (LTaD),Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,N'a pas participer,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Non,Oui,Non,Non,Oui,Non,Président ne vote pas,Oui,,,,,,,,,Non,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Non,,,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Non,N'a pas participer,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,N'a pas participer,,Oui,Oui,Non,Oui,Oui,Oui,,Oui,Oui,N'a pas participer
1,0.7868852459016394,1,156,156,2015-12-18 08:15:25,CN,"RK-NR, RK-SR",DFAE,13.105,Convention internationale pour la protection de toutes les personnes contre les disparitions forcées. Approbation,12844,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Arrêté fédéral portant approbation et mise en oeuvre de la Convention internationale pour la protection de toutes les personnes contre les disparitions forcées,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,N'a pas participer,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Oui,Oui,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,N'a pas participer,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,N'a pas participer,,Oui,Oui,Oui,Oui,Oui,Oui,,Non,Oui,Oui
2,1.1657901327322813,2,157,157,2015-12-18 08:16:27,CN,"UREK-NR, UREK-SR",DETEC,14.019,Pour une économie durable et fondée sur une gestion efficiente des ressources (économie verte). Initiative populaire et contre-projet indirect,12857,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Arrêté fédéral relatif à l’initiative populaire «Pour une économie durable et fondée sur une gestion efficiente des ressources (économie verte)»,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,N'a pas participer,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Excusé,Non,Oui,Non,Oui,Oui,Non,Président ne vote pas,Oui,,,,,,,,,Non,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Non,,,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,N'a pas participer,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,N'a pas participer,,Oui,Oui,Non,Oui,Oui,Abstention,,Oui,Non,Non
3,0.7309774864633799,3,158,158,2015-12-18 08:17:31,CN,"RK-NR, APK-SR",DFAE,14.039,Blocage et restitution des avoirs illicites de personnes politiquement exposées à l’étranger. Loi,12858,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,"Loi fédérale sur le blocage et la restitution des valeurs patrimoniales d'origine illicite de personnes politiquement exposées à l'étranger (Loi sur les valeurs patrimoniales d'origine illicite, LVP)",Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,N'a pas participer,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Excusé,Oui,Oui,Oui,Oui,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Abstention,Oui,N'a pas participer,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,N'a pas participer,,Oui,Oui,Oui,Oui,Oui,Oui,,Non,Oui,Oui
4,1.1173528280107734,4,159,159,2015-12-18 08:18:29,CN,"SGK-NR, SGK-SR",DFI,14.058,Pour un revenu de base inconditionnel. Initiative populaire,12847,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Arrêté fédéral concernant l’initiative populaire «Pour un revenu de base inconditionnel»,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Abstention,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Abstention,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,N'a pas participer,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Excusé,Abstention,Oui,Oui,Oui,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Abstention,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Abstention,,,Abstention,Oui,Oui,Oui,Oui,Oui,Abstention,Oui,Abstention,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Abstention,Oui,Oui,Oui,Oui,N'a pas participer,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,N'a pas participer,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui
5,1.0,5,160,160,2015-12-18 08:19:24,CN,"UREK-NR, UREK-SR",DETEC,14.086,Convention de Minamata sur le mercure. Approbation,12848,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Arrêté fédéral portant approbation de la Convention de Minamata sur le mercure,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Oui,Oui,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,N'a pas participer,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,N'a pas participer,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui
6,1.1345787266488754,6,161,161,2015-12-18 08:20:21,CN,"SGK-NR, SGK-SR",DFI,14.087,AVSplus: pour une AVS forte. Initiative populaire,12849,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Arrêté fédéral relatif à l’initiative populaire «AVSplus: pour une AVS forte»,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Excusé,Non,Oui,Non,Oui,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Non,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Non,,,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,N'a pas participer,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Abstention,Non,N'a pas participer,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Non,Non
7,1.0,7,162,162,2015-12-18 08:21:31,CN,"SGK-NR, SGK-SR",DFI,15.018,Loi sur le libre passage. Droits en cas de choix de la stratégie de placement par l'assuré,12850,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,"Loi fédérale sur le libre passage dans la prévoyance professionnelle vieillesse, survivants et invalidité (Loi sur le libre passage, LFLP)",Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Oui,Oui,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,N'a pas participer,,Oui,Oui,N'a pas participer,Oui,Oui,Oui,,Oui,Oui,Oui
8,10.983739837398373,8,163,163,2015-12-18 08:22:30,CN,"SGK-NR, SGK-SR",DFI,15.02,LAMal. Pilotage du domaine ambulatoire,12852,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Loi fédérale sur l’assurance-maladie (LAMal) (Régulation d'admission),Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Excusé,Oui,Oui,Oui,Non,Non,Oui,Président ne vote pas,Non,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,,Non,Oui,Non,Non,Oui,Non,Abstention,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,N'a pas participer,,Non,Oui,Oui,Oui,Oui,Oui,,Non,Oui,Oui
9,0.7230769230769231,9,164,164,2015-12-18 08:23:42,CN,"WAK-NR, WAK-SR",DFF,15.046,Echange international automatique de renseignements en matière fiscale. Loi,12853,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Arrêté fédéral portant approbation de l’accord multilatéral entre autorités compétentes concernant l’échange automatique de renseignements relatifs aux comptes financiers,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Abstention,Oui,Abstention,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Oui,Oui,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Abstention,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Abstention,Non,Oui,N'a pas participer,,Oui,Oui,Oui,Oui,Oui,Oui,,Non,Oui,Oui
10,0.7333333333333334,10,165,165,2015-12-18 08:24:33,CN,"WAK-NR, WAK-SR",DFF,15.046,Echange international automatique de renseignements en matière fiscale. Loi,12854,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Loi fédérale sur l’échange international automatique de renseignements en matière fiscale (LEAR),Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Abstention,Oui,Abstention,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Oui,Oui,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Abstention,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Abstention,Non,Oui,N'a pas participer,,Oui,Oui,Oui,Oui,Oui,Oui,,Non,Oui,Oui
11,0.7498482088646022,11,166,166,2015-12-18 08:25:34,CN,"WAK-NR, WAK-SR",DFF,15.047,Assistance administrative fiscale. Convention du Conseil de l’Europe et de l’OCDE. Approbation,12855,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Arrêté fédéral portant approbation et mise en oeuvre de la Convention du Conseil de l’Europe et de l’OCDE concernant l’assistance administrative mutuelle en matière fiscale,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Abstention,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Oui,Oui,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Abstention,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,N'a pas participer,,Oui,Oui,Oui,Oui,Oui,Oui,,Non,Oui,Oui
12,1.0899640143942422,12,167,167,2015-12-18 08:29:47,CN,"APK-NR, APK-SR",DEFR,15.059,Banque asiatique d’investissement dans les infrastructures. Adhésion,12856,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Arrêté fédéral portant approbation des statuts de la Banque asiatique d'investissement dans les infrastructures,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Abstention,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Excusé,Non,Oui,Non,Oui,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Non,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Non,,,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Abstention,Non,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,N'a pas participer,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Non,Non
13,0.9880087823002872,13,392,392,2016-03-18 09:11:43,CN,"CSSS-CN, CSSS-CE",DFI,12.08,Loi sur les produits thérapeutiques. Révision,13196,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,"Loi fédérale sur les médicaments et les dispositifs médicaux (Loi sur les produits thérapeutiques, LPTh)",Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui
14,0.9608144448713023,14,393,393,2016-03-18 09:12:25,CN,"CAJ-CN, CAJ-CE",DFJP,13.025,Loi sur la surveillance de la correspondance par poste et télécommunication. Modification,13197,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Loi fédérale sur la surveillance de la correspondance par poste et télécommunication (LSCPT),Abstention,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Non,Oui,Oui,Oui,Oui,Oui,Abstention,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Excusé,Oui,Non,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Abstention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Non,Abstention,Abstention,Oui,Abstention,Non,Oui,Oui,Abstention,,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Abstention,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Abstention,Oui,Oui,Oui,Oui,Abstention,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Non,Non
15,1.0791397849462365,15,394,394,2016-03-18 09:13:25,CN,"CEATE-CN, CEATE-CE",DETEC,13.074,"Stratégie énergétique 2050, premier volet. Pour la sortie programmée de l’énergie nucléaire (Initiative Sortir du nucléaire). Initiative populaire",13198,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,Arrêté fédéral sur l’initiative populaire fédérale «Pour la sortie programmée de l’énergie nucléaire» (Initiative «Sortir du nucléaire»),Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui,Excusé,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Excusé,Oui,Non,Président ne vote pas,Oui,,,,,,,,,Non,,,,,,,,,,,Non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Non,,,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,,Oui,Oui,Non,Oui,Oui,Oui,,Oui,Non,Non
16,0.7463094587206124,16,395,395,2016-03-18 09:14:19,CN,"CAJ-CN, CAJ-CE",DFJP,14.015,"Loi sur la signature électronique, SCSE. Révision totale",13199,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,"Loi fédérale sur les services de certification dans le domaine de la signature électronique et des autres applications des certificats numériques (Loi sur la signature électronique, SCSE)",Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,,Non,Oui,Oui
17,1.0213903743315509,17,396,396,2016-03-18 09:15:03,CN,"CEATE-CN, CEATE-CE",DETEC,14.046,Loi sur les forêts. Modification,13200,Annahme der Vorlage,Ablehnung der Vorlage,Schlussabstimmung,"Loi fédérale sur les forêts (Loi sur les forêts, LFo)",Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Abstention,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Excusé,Oui,Oui,Président ne vote pas,Oui,,,,,,,,,Oui,,,,,,,,,,,Oui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oui,,,,,,,Oui,,,Oui,Oui,Oui,Oui,Oui,Abstention,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Abstention,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,Oui
